Country,NATO/JEF,name,air/naval,x,y
Norway,NATO/JEF,Ørland Air Station,air base,9.637428036,63.69858683
Norway,NATO/JEF,Evenes flystasjon,air base,16.6869766,68.49208853
Norway,NATO/JEF,Haakonsvern orlogsstasjon,naval base,5.23667046,60.33762493
Norway,NATO/JEF,Ramsund orlogsstasjon,naval base,16.5106806,68.49390894
Denmark,NATO/JEF,Flådestation Frederikshavn,naval base,10.53285583,57.43247596
Denmark,NATO/JEF,Flådestation Korsør,naval base,11.13384526,55.33088526
Denmark,NATO/JEF,Flyvestation Skrydstrup,air base,9.258200195,55.2253826
Denmark,NATO/JEF,Flyvestation Karup,air base,9.131955319,56.29666833
Denmark,NATO/JEF,Flyvestation Aalborg,air base,9.857783062,57.09868469
Sweden,JEF (NATO pending),Lidköping-Såtenäs,air base,12.72673252,58.4369471
Sweden,JEF (NATO pending),Uppsala-Ärna ,air base,17.59375049,59.89791894
Sweden,JEF (NATO pending),Luleå,air base,22.13129725,65.55048972
Sweden,JEF (NATO pending),Ronneby ,air base,15.26924808,56.25523672
Sweden,JEF (NATO pending),Malmen ,air base,15.52881855,58.40261833
Sweden,JEF (NATO pending),Karlskrona garnison,naval base,15.58446488,56.15643899
Sweden,JEF (NATO pending),Berga örlogsbas,naval base,18.13859872,59.0805227
United Kingdom,NATO/JEF,Coningsby,air base,-0.164639136,53.1000842
United Kingdom,NATO/JEF,Marham,air base,0.550524647,52.65759953
United Kingdom,NATO/JEF,Lossiemouth,air base,-3.305501494,57.71081384
United Kingdom,NATO/JEF,Waddington,air base,-0.528985006,53.17269951
United Kingdom,NATO/JEF,Brize Norton,air base,-1.581289817,51.76169469
United Kingdom,NATO/JEF,Clyde,naval base,-4.816816619,56.06785531
United Kingdom,NATO/JEF,Devonport,naval base,-4.179318707,50.39500473
United Kingdom,NATO/JEF,Portsmouth,naval base,-1.108911076,50.80254257
Netherlands,NATO/JEF,Eindhoven,air base,5.378190867,51.4509654
Netherlands,NATO/JEF,Leeuwarden,air base,5.764022872,53.22533605
Netherlands,NATO/JEF,Volkel,air base,5.70762856,51.65895907
Netherlands,NATO/JEF,Den Helder,naval base,4.801849583,52.95771431
Finland,NATO/JEF,Rovaniemen lentoasema,air base,25.83059172,66.55885123
Finland,NATO/JEF,Kuopion lentoasema,air base,27.8034545,63.01286399
Finland,NATO/JEF,Tampere-Pirkkalan lentoasema,air base,23.62737481,61.41861799
Finland,NATO/JEF,Jyväskylän lentoasema,air base,25.6805708,62.40432318
Finland,NATO/JEF,"Rannikkolaivasto, Pansion  esikunta",naval base,22.14258459,60.44844089
Finland,NATO/JEF,Rannikkoprikaati,naval base,24.35911139,60.03003675
Estonia,NATO/JEF,Ämari Lennubaas,air base,24.22352634,59.26202261
Estonia,NATO/JEF,Tallinna Miinisadam,naval base,24.7231186,59.45287112
Latvia,NATO/JEF,Liepaja,naval base,20.99804982,56.51603516
Latvia,NATO/JEF,Lielvārdes Militārais Lidlauks,air base,24.85330651,56.7787144
Lithuania,NATO/JEF,Šiaulių Oro Uostas,air base,23.38911726,55.89396423
Lithuania,NATO/JEF,City of Klaipėda,naval base,21.13868294,55.70220455
Poland,NATO,Swidwin (21. Air Force Base),air base,15.83123484,53.77990067
Poland,NATO,Malbork Airport Królewo,air base,19.11837737,54.02878618
Poland,NATO,Mińsk Mazowiecki,air base,21.6481793,52.19241124
Poland,NATO,Wojskowa Straż Pożarna 31BLT,air base,16.97052306,52.325118
Poland,NATO,32. Baza Lotnictwa Taktycznego,air base,19.17839344,51.558847
Poland,NATO,Gdynia (3 Flotylla Okrętów),naval base,18.55228184,54.54354837
Poland,NATO,Świnoujście,naval base,14.25401711,53.9038991
Germany,NATO,Wunstorf,air base,9.444123405,52.46260172
Germany,NATO,Wittmundhafen,air base,7.667587402,53.54916008
Germany,NATO,Nörvenich,air base,6.661140309,50.83460453
Germany,NATO,Büchel ,air base,7.066274429,50.17686924
Germany,NATO,Schleswig,air base,9.518710449,54.45692246
Germany,NATO,Rostock-Laage,air base,12.29594821,53.92030819
Germany,NATO,Marinestützpunkt Hohe Düne,naval base,12.11449166,54.17806193
Germany,NATO,Marinestützpunkt Kiel,naval base,10.14293601,54.35783639
Germany,NATO,Marinestützpunkt Eckernförde,naval base,9.863704189,54.47750536
Germany,NATO,Marinestützpunkt Heppenser Groden,naval base,8.16004827,53.54101998
Russia,NA,Chernyakhovsk,air base,21.7912396,54.60889348
Russia,NA,Voyennyy Aerodrom Chkalovsk,air base,20.40896573,54.77122441
Russia,NA,Monchegorsk,air base,32.97739593,68.00173301
Russia,NA,Olenegorsk,air base,33.41092691,68.13674241
Russia,NA,Severomorsk-3,air base,33.73590534,68.88319486
Russia,NA,Severomorsk-1 air base,air base,33.40447005,69.04404308
Russia,NA,Besovets,air base,34.15666201,61.87781434
Russia,NA,Levashovo,air base,30.20647872,60.09448064
Russia,NA,Shatalovo,air base,32.46733077,54.33381272
Russia,NA,Shaykovka,air base,34.37878367,54.22951782
Russia,NA,Severomorsk,naval base,33.40887785,69.06901726
Russia,NA,"Kronstadt, St. Petersburg",naval base,29.76200775,59.98434495
Russia,NA,Baltiysk,naval base,19.92868104,54.63907783
Russia,NA,Severodvinsk,naval base,39.82393741,64.58125314
Russia,NA,Gadzhiyevo,naval base,33.34152528,69.2595384
Russia,NA,Vidyaevo,naval base,32.79159435,69.38411827
Russia,NA,Zaozersk,naval base,32.41914282,69.43660473
